职位,企业名称,地区,薪资,要求
数据开发工程师,上海航空电器有限公司,上海,1-2.5万,1、数据管理平台的开发：数据质量问题及数据资产查询功能开发；2、数据集成开发：针对不同数据源开展数据采集、清洗工作；3、数据展现开发：按照业务实现可视化需求开发；4、熟悉主流java开发框架，参与过项目开发；5、对新技术感兴趣，有良好的学***动性；6、熟悉主流数据库，有较好的SQL基础；7、有BI开发实施经验优先。
高级BI数据仓库,成都迈思信息技术有限公司,深圳,1-2.5万,岗位职责：1、深入理解业务逻辑和业务需求，设计稳定、可复用、可扩展的数据仓库模型，支持数据分析和挖掘；2、完成数据平台的数据仓库建设与数据应用的开发工作；3、负责分布式数据仓库的相关项目ETL开发和应用实施，以及后续变更与维护；4、负责历史数据库与数据仓库运维管理，性能分析及应用调优。任职要求：1、***本科以上学历，3年以上数据仓库相关工作经验，高级数仓人员；2、熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，具备大型数据仓库逻辑模型和物理模型设计经验；3、精通SQL，ETL数据处理方法，熟悉至少一种关系数据库，包括但不限于Oracle、SQL?Server、MySQL等；4、熟练使用过至少一种主流ETL工具，如DataStage、Informatica、Kettle等；5、熟练掌握Linux?Shell，有一定的Java/Python开发能力更好；6、具有良好的团队协作沟通能力；7、有政府数据共享交换系统开发经验者有限。
大数据平台顾问,东风小康汽车有限公司,重庆,1万以下,招聘要求：    （1）本科及以上学历，计算机科学及相关专业；    （2）2年以上大数据平台开发经验，精通数据仓库开发；    （3）有较好的程序开发能力和沟通表达能力；    （4）掌握SQL和SQL常用优化策略，有CDH运维经验优先。    岗位职责描述：    （1）负责业务需求沟通，业务关系梳理，业务需求整理，文档编写并提交业务部门审核；    （2）负责大数据技术架构设计、开发、测试、部署、运维；    （3）负责数据质量管理，行业业务标准收集并执行；    （4）负责编写技术编码规范，数据质量规范，项目管理规范；    （5）负责对所需要维护的大数据平台业务数据以及管理数据进行核查，能判断大数据平台的运行效果。
数据开发工程师/IT(J10168),绍兴中芯集成电路制造股份有限公司,浙江省,1万以下,"工作职责:1.负责大数据平台、数据仓库以及大数据架构搭建及平台的运维保障工作2.生产系统数据的抽取、转储、检索、挖掘等开发工作3.参与各种Hadoop分布式数据基础框架的改进和调优任职资格:1. 熟悉Hadoop生态体系，包括但不限于Hive、HBase、Spark、Sqoop、Flink等2. 熟悉整个大数据的完整处理流程，包括数据的采集、清洗、预处理、存储、分析挖据、机器学习和数据可视化。3. 数据采集，数据库设计，清洗，转换和落地的经验(ETL, SQL, Data Streaming的过程)4. 熟悉Java、Python语言，熟悉Linux平台5.计算机、电子、通信、数学、统计学等相关专业，本科及以上的学历，"
大数据开发工程师,纬创软件（武汉）有限公司,成都,1-2.5万,1. 计算机或相关专业，熟练使用常用算法和数据结构，4年以上数据开发/数据分析相关经验；2. 有丰富的SQL使用经验，熟练使用ORALCE/MYSQL等数据库；3. 4年以上金融工作经验，足够的银行业务知识，熟悉银行存、贷款业务，支持各类监管报送，需求分析、开发；4. 有较强的数据分析能力和逻辑判断能力，有一定的银行会计基础知识；5. 对解决挑战性问题充满热情，善于分析解决问题，吃苦耐劳；6. 有HSQL开发经验者优先，有1104/大集中/EAST/反洗钱/征信等报送经验者优先。7.本科以上学历
大数据平台工程师,中国恩菲工程技术有限公司,北京,1-2.5万,职责描述：1、大数据平台的基础技术规划，编制相关规范文档2、大数据平台的数据采集、处理、存储以及挖掘分析的架构实现3、大数据平台的实际规划建设，包括环境和框架的规划搭建以及部分核心编码工作4、参与业务需求调研，根据需求及行业特点设计大数据解决方案并跟进具体实施项目.任职要求：1、本科或以上学历，3年以上大数据架构设计经验2、熟悉大数据解决方案包括Hadoop、Spark、Storm、Kafka3、深刻理解大数据处理(流计算、分布式计算、分布式文件系统、分布式存储等相关技术和实现方法，有架构和设计实践经验4、熟练使用Python/Go/Java等语言之一进行开发处理，可以进行数据模型的设计、开发；
EIS工程师,英诺赛科（苏州）半导体有限公司,苏州,1-2.5万,岗位职责：1、收集和分析用户对于YMS/EDA、WAT、DMS、Grade、Ink、CP/FT及相关系统的需求，和用户讨论并确定相关系统需求、设计及相关文档的撰写；2、设计、开发、测试和部署YMS/EDA、WAT、DMS、Grade、Ink、CP/FT及相关系统，确认并落实相关系统的可靠性；3、负责YMS/EDA、WAT、DMS、Grade、Ink、CP/FT及相关系统的日常维护，保证系统可用性；4、对于工厂YMS/EDA、WAT、DMS、Grade、Ink、CP/FT等相关系统提供7*24小时的电话支持；5、其他相关工作。岗位要求：1、本科及以上学历，计算机相关专业；2、有2年以上半导体或制造行业报表及工程数据分析工作经验，有项目管理经验者优先，熟悉vidas系统平台者优先；3、熟悉面向对象开发架构，熟悉pathon、C#或Java等任一或多种开发语言，熟悉Finereport或Tabelau平台；4、具有Oracle或Sql server数据库开发经验，熟练掌握PL/SQL等工具；5、具备良好的沟通协调能力与团队合作精神。
大数据架构师,泰州基久网络科技有限公司,泰州,10-25万/年,岗位职责：负责数据中台数据治理和服务工作。岗位要求：1.负责部门数据方向（数仓、实时计算等）人才培养；2.负责产品/项目级的数据架构总体设计与评审，并指导数据开发人员对数据架构设计进行落地，必要的时候完成部分核心代码的开发；3.在交付项目中能够引导/影响客户的数据方案设计决策；4.组织技术难点的攻关，解决项目中的复杂数据技术问题；任职要求：1.本科以上学历，8年以上开发经验，并有3年以上数据架构设计经验；2.精通数仓、数据中台、ETL、数据治理方面相关技术；3.精通Hadoop知识体系，并有丰富的实战经验；4.丰富的离线计算、实时计算相关设计和开发的经验；5.追求技术，有韧劲，能够挑战各种技术难题；6.具备严谨的逻辑思维，良好的沟通表达能力；7.愿意主动跟团队分享技术经验，培训团队技术能力。8. 阿里数据中台项目经验者优先
资深大数据平台软件开发工程师,成都拓达聚思力信息技术有限公司,成都,2.5-4万,"岗位职责- 负责设计和构建大数据平台的各类组件，包括但不限于数据采集，计算，对外服务及治理平台的设计和开发搭建，降低数据的使用门槛，实现数据的***价值；- 基于开源解决方案，构建完整的数据开发、治理框架，以满足实时、近实时以及批量计算的需求。- 持续升级和解决自主建设和开源产品中的问题， 包含基于开源项目源码的新功能开发和集成。- 探索和实践新技术和现有平台的集成。-Be responsible for the design and construction of various components of the big data platform, including but not limited to the design, development and construction of data collection, calculation, external service and governance platform, so as to reduce the threshold of data use and realize the maximum value of data;-Based on open source solutions, build a complete data development and governance framework to meet the needs of real-time, near real-time and batch computing.-Continuously upgrade and solve problems in open source products, including bug repair in spark, hive, HDFS and presto, and development and integration of new functions based on source code.-Explore and practice the integration of new technologies and existing platforms.技能和要求- 计算机相关专业，本科及以上学历。4年以上大数据相关工作经验。- 精通Java，基础扎实 ，对于多线程、网络、IO方面有实际的应用经验，了解Java 内存模型，垃圾回收机制，对于Java的内存监控、调优、线上Debug有丰富经验。- 熟悉基于Springboot的微服务应用开发。- 精通一种或多种大数据相关组件技术，包括但不限于 Hadoop、Spark、Flink、Presto、调度系统、元数据管理系统等，理解其内部原理和适用场景，了解核心源码及调优方法。- 有大数据中台建设经验、数据治理经验者优先。- 熟悉Yarn、Kubernetes等调度和资源管理系统，参与过大型集群的搭建或维护优先;- 熟悉Azure 云服务的优先-Bachelor degree or above in computer related major. At least 4 years working experience in big data.-Be proficient in one or more big data related component technologies, including but not limited to Hadoop, spark, elk, presto, scheduling system, metadata management system, etc., understand their internal principles and application scenarios, and understand the core source code and tuning methods.-Proficient in Java, solid foundation, practical application experience in multithreading, network and IO, understanding Java Memory Model and garbage collection mechanism, and rich experience in JAVA memory monitoring, tuning and online debugging.-Hands on Experience on Springboot-Familiar with spark kernel, optimized spark kernel components, or participated in the development of quasi real-time data processing system;-Experience in big data platform construction is preferred.-Familiar with scheduling and resource management systems such as yarn and K8S, and having participated in the construction or maintenance of large clusters is preferred;-Familiar with Azure Data Cloud is preferred"
大数据研发工程师-厦门,中电福富信息科技有限公司,厦门,1-2.5万,工作概述：1、负责大数据生态系统的相关技术的研究及应用；2、在数据分析师指导下，负责对具体模型算法的程序实现；3、负责指导产品部进行具体项目的开发实施。任职资格：1、数学、统计学、计算机等相关专业本科及以上学历；2年以上大数据相关工作经验。2、熟悉基于spark、hadoop的生态系统，有Hadoop、Hive、Spark集群使用、调优和运维经验者优先；3、熟悉对结构化数据、非结构化数据、流数据的采集、存储和整合的技术实现经验；4、对数据挖掘、机器学习有一定了解，熟悉相关算法。在项目中有实际使用算法经验者优先。
数据挖掘工程师,中移互联网有限公司,广州,25-45万/年,"【岗位职责】1、负责对接内外部数据服务需求，输出数据需求文档；2、掌握且深入理解主流的分析模型，根据需求文档，通过提取、处理、探索数据，模型构建，输出满足需求的分析模型；3、有较强的数据分析能力、逻辑思考能力，能够准确把握业务的核心需求；4、对产品经理的产品决策提供建设意见；5、定期编写专题分析报告、监控分析用户行为与产品动态；【专业要求】1、***本科（含）以上学历；2、3年以上数据分析/数据挖掘建模工作经验；3、数学、 统计学、计算机等相关专业优先。【能力要求】1、有互联网行业数据分析经验者优先；2、至少熟练掌握R、Python、SPSS、SAS等分析工具的其中一种, 具备良好的SQL编写能力；3、至少精通一种数据库。如：Hadoop/Oracle/SQLERVER/MYSQL等；4、对数据敏感, 有责任心，工作积极主动，具有较好的抗压能力、语言表达能力和报告撰写能力。"
系统架构师,徐州重型机械有限公司,徐州,2.5-4万,岗位职责：1.负责组织客户需求收集、分析，梳理业务流程解决方案，项目的拓展支撑；2.定义系统功能，制定系统原型，绘制流程图，编写需求规格说明书；3.协助项目经理组织需求和需求变更管理，需求跟踪和版本管理；4.协助系统架构师、设计师开展软件设计与建模，解决方案架构设计和交付策略制定工作；5.协助制定开发计划，为开发提供业务咨询指导解释业务需求；6.收集整理业务方案，形成企业财富。任职要求：1.计算机相关专业，本科及以上学历；2.4年以上软件开发工作经验；3.熟悉使用UML，熟悉软件设计模式，能够使用其中的一些建模工具（Visio，Rationnal Rose，PowerDesign等）4.良好的沟通、表达、计划和创新能力，较强的分析、设计和文档编写能力；5.具备极强的团队精神和合作精神，能够承受一定工作压力。加分项：1.有hadoop、spark、Redis、分布式系统开发经验者优先；2.有项目管理经验者优先、有大数据开发经验优先。
高级大数据开发工程师,深圳光汇石油集团股份有限公司,深圳,2.5-4万,"岗位职责（自研岗位）：1. 参与打造业界领先的数据中台系统；2. 员责数据中台实时计算、高线计算架构搭建与开发；3. 负责数据中台业务监控，应急响应等三常维护，确保系统平台的稳定运。任职要求：1. 计算机、软件工程专业本科及以上学历；2. 五年以上相关大数据项目开发经验；3. 熟悉主流大数据框架(Hadoop/Hive/Spark/Flink/HBase/ES/Kafka等）；4. 精通Python, SQL, Shell 语言；5. 具备Flink实际项目开发经验；6. 有实际的高线、实时数仓开发经验；7. 有高度的责任感、很强的学习和沟通能力，具有良好的国队合作精神。"
大数据开发,塔塔信息技术（中国）有限责任公司,上海,2.5-4万,"塔塔TCS福利：外企大平台，固定十三薪；早九晚六、周末双休；五险一金，商业保险（可惠及配偶子女）；定期体检，年度调薪；带薪年假（12天起）+带薪病假。客户：全球领先饮料公司。学历要求：大专及以上（学信网可查）英文要求：具有有英语工作能力（口语和读写，全英文面试，面试官外国人）Responsibility:Data Engineering related tasks on Microsoft Azure platform ( or similar working experience), including：1、data pipeline implementation,  2、databricks notebook development ( based on Spark + Python)SQL scripting in MSSQL.3、PowerBI reporting which is nice to have.Working Experience:At least 3 years working experienceLanguage:fluent Chinese + workable English"
软件开发工程师-大数据方向,云南南天电子信息产业股份有限公司,昆明,1万以下,"岗位职责:1、负责大数据平台、数据仓库以及大数据架构搭建，负责大数据相应功能模块研制工作；2、负责大数据相关项目的系统技术选型、架构设计、代码开发，以及产品化，制定与优化大数据相关的实践；3、负责大数据算法平台的技术把关，性能调优，控制架构质量，解决项目技术难题；对研发项目和任务需求进行评估和方案设计、拆分任务并完成开发，支持解决方案实施。4、协调解决开发中的技术问题，具备核心技术攻关能力，能够解决开发过程中技术难题。 任职资格:1、有海量数据处理和并行计算开发经验者，熟悉 Hadoop生态，有3年以上大数据项目经验优先;2、具有扎实的Java开发语言功底,熟悉Java及面向对象设计开发,对部分Java技术有深入研究;3、了解并掌握MySQL/Hive/Spark的使用，有Hadoop/Spark/HBase/Kafka/Storm/Lucene/Elasticsearch 深入源代码分析经验者优先；4、对分布式计算、数据挖掘有深入了解者优先；5、思维敏捷，对工作有较高的热情和驱动力，具有良好的团队合作意识；6、具有良好的职业道德，有进取心；7、有主动学习的意识，学习能力强。"
大数据开发工程师,北京恒泰实达科技股份有限公司,武汉,1万以下,岗位职责：1.根据需求设计，进行功能测试，测试分析结果数据的准确性。2.反馈客户对功能的先问题。任职要求：1、熟悉Oracle、mysql或者postgre等任意一种数据库使用，有良好的sql基础；2、熟练使用excel；3、有良好的沟通能力和表达能力；4、必须具备踏实肯干、吃苦耐劳、较强的责任心的优秀品质；5、具备较好的文档编写能力；6、测试分析结果数据的准确性；8、熟悉java、js或者python等任意一种编程语言优先。
大数据领域博士,中国联合网络通信有限公司深圳市分公司,深圳,4-8万,1、主导数据治理框架的实施，包含数据标准管理、数据安全管理、元数据管理、数据生命周期管理、数据质量管理等；2、主导数据治理类项目实施和运营，梳理数据资产，并梳理数据治理项目交付文档；3、主导数据仓库基础架构和技术体系的规划和建设，推动数据治理工作，解决实际业务问题；4、主导数据治理平台搭建、制度建设及推广工作；5、主导制定、开发数据质量检查规则，推动数据质量问题整改；6、负责其他数据治理及数据管控类工作。
大数据平台架构师(J10626),奇瑞新能源汽车股份有限公司,芜湖,1万以下,工作职责:1、负责公司的大数据平台与开发团队的管理工作，包括团队能力建设和人才梯度培养；2、负责数据仓库、大数据IT产品技术架构设计工作;3、负责大数据开发平台、实时计算平台的搭建和开发工作；4、承担大数据平台的维护和调优；5、结合需求设计和实现大数据产品的后台架构，并且能持续优化系统架构，保证高可用性、安全稳定性；6、与产品经理/数据分析师合作，研发和持续优化相关产品的质量、性能和用户体验。任职资格:1、本科及以上学历，数学、计算机相关专业。8年以上大数据平台从业经验。2、精通开源大数据技术栈，精通Flink/Hadoop/Hive/Flink/Spark/hive/ElasticSearch/Kafka等框架原理，对性能调优有过经验，有大数据开源社区开发经验者优先；3、对离线/流式计算，存储引擎，资源调度等一项或多项有深入理解及实战经验；4、精通数据仓库架构及原理，具备数据资产、数据治理、元数据模型设计和处理性能调优等相关经验；5. 有超PB级别大数据处理实战经验，熟悉整个大数据的完整处理流程，优秀的问题解决能力；6. 具有团队合作、良好的沟通技巧和主动挑战困难能力。7、具有一定技术前瞻性，持续跟进大数据发展趋势，并结合主机厂工作场景进行落地
数据分析工程师(J11189),东吴证券股份有限公司,苏州,25-45万/年,工作职责:1.负责客户运营、行为、体验等数据分析与挖掘；2.负责数据分析模型构建、可视化设计及迭代维护；3.对大数据及机器学习分析模型进行设计开发；4.基于分析结论，向相关团队及业务方提供数据支持与决策依据；5.负责数据分析工具平台建设规划，并推动项目落地。任职资格:1.35周岁以下（含），***本科及以上学历，计算机、统计、大数据、人工智能、数学等相关专业，重点院校毕业者优先；2.拥有3年以上大数据分析及机器学习工作经验，具备大数据分析、机器学习实际开发和调优经验，证券、互联网相关工作经验优先；3.熟练使用Python、R等数据分析语言及相关类库，熟悉SQL、hive、spark、Hadoop，了解MapReduce分布式计算，具备扎实的数据分析功底；4.熟悉机器学习（深度学习）的各类模型，熟悉逻辑回归、神经网络、决策树、聚类等相关建模方法，并具备相关实现经验及案例；5.拥有创新意识，具备较强的数据敏感度、逻辑和数据分析能力，对大数据处理有强烈兴趣；6.善于沟通，具备优秀的团队协调能力。有独立承担项目能力和经验，执行力强，工作主动积极，具有出色口头和书面表达能力；7.自我驱动，强责任心，良好的沟通协作能力，对自己有更高的要求。
数据开发工程师（永洪BI）,爱尔眼科医院集团股份有限公司,长沙,1-2.5万,"负责公司大数据报表可视化开发任职要求：1、精通永洪BI，能熟练操作BI工具，至少3~5年的BI操作经验。2、熟悉数据库，掌握SQL基本技能以及性能优化。?3、熟悉JAVASCRIPT,能对BI界面进行美化和优化。?4、具有较强的沟通、学习能力，以及数据需求分析能力。?5、有医疗数据统计分析经验的优先。"
大数据开发工程师.,南京泉峰科技有限公司,南京,1-2.5万,岗位职责:工作职责：1、参与公司大数据相关产品的设计及相关模块开发2、参与公司基于AWS云的大数据平台之上的数据分析开发。包括数据ETL开发、离线数据分析、实时数据分析等3、参与公司大数据项目所涉及需求分析和实施方案设计、数据落地模型设计4、参与对公司大数据产品：用户画像、 日志点击流、 数据埋点平台等进行优化迭代任职要求:1、2年及以上大数据项目或产品研发经验；2、了解数据仓库设计理论，数仓分层结构和维度建模3、掌握大数据相关技术， 具备Hadoop、 HBase、 Hive、Spark、 Storm、 Kafka、 ES等主流组件开发经验；4、熟练掌握SQL，并有相应的性能调优经验5、熟悉使用Linux系统，有Shell脚本编写经验6、熟悉大数据开发流程，熟悉Scala、Java、python其中之2种开发语言7、具有一定的任务需求分析、设计能力8、主动性和责任心强，对数据敏感，逻辑性强，有良好的抗压能力9、有基于AWS云上paas服务的开发经验者可考虑加分
大数据开发工程师,吉贝克信息技术（北京）有限公司,北京,1-2.5万,要求如下：1、本科或以上学历，3年以上相关工作经验；2、有保险工作经验优先；3、精通SQL编程语言，hive，sqoop ，hbase等技术；4、熟悉oracle等传统数据库开发5、工作细致认真，积极上进，具有良好的沟通能力及团队精神有保险相关项目经验优先
数据挖掘工程师(用户画像),阅文集团,上海,2.5-4万,工作职责:负责阅文集团相关业务线数据挖掘和策略开发，针对海量用户数据进行挖掘，分析用户行为，完善用户画像标签。针对用户相关数据和特征，建立相关产品数据模型，为产品提供策略依据。任职资格:有良好的逻辑思维和分析能力，对数据挖掘和机器学习具有浓厚兴趣。精通sql，熟练使用python等对数据进行清洗和分析，数据hadoop/spark/hive等大数据分析工具更佳。熟悉C++，python，java一种或多种编程语言，对数据结构和算法有一定的功底。熟悉sklearn，spark mllib，keras，tensorflow，pytorch 等一种或多种机器学习或深度学习框架。热爱网络文学，有大数据分析经验，或者互联网数据分析、挖掘、建模相关经验者优先。数学，统计学，机器学习，计算机相关专业优先。
大数据平台开发工程师,中储南京智慧物流科技有限公司,南京,1-2.5万,工作职责:1、负责参与公司数据中台的统一调度平台、实时数仓平台、离线数仓平台、资产管理平台等平台建设，为海量数据和业务系统提供可靠的业务能力支撑。2、负责大数据平台的基础工具和平台的研发和维护; 3、大数据前沿开发技术的研究和推广。任职资格:1、***本科、计算机、统计或其它相关专业本科及以上学历，5年以上开发经验，2年以上大数据相关研发和运维经验;2、精通Java编程语言 ，能进行Hadoop或Flink组件相关开发;3、熟悉Hadoop平台开源产品，熟悉Flink、 Spark一种或者多种计算引擎;4、熟悉Kafka、HBase、 HDFS、 Hive、 Presto等开源组件中的一种或多种;5、深度理解软件工程，具备分布式、高性能等开发经验，有过大数据平台开发经验者优先;6、肯钻研，能抗压，有较强的解决问题和沟通协调的能力。
高级数据开发工程师KJ2229,华数传媒网络有限公司,杭州,1-2.5万,"岗位职责:1、负责在分布式数据开发平台上,根据要求完成数据相关项目的功能实现，达到设计要求，解决项目中数据相关的难点和重点问题；2、负责数据产品开发工作的组织协调，负责数据仓库的设计和优化；3、负责实施过程中与需求各方的沟通、协调，以及问题的跟踪、解决、反馈；4、负责数据产品项目的交付， 包括制定开发计划、把控实施过程和应对风险问题等。任职要求:1、招聘范围：遵守中国宪法和法律，符合岗位所需的学历、专业技能、身体条件人员；2、年龄学历：大学本科及以上学历，数学、计算机、信息技术等专业优先；3、工作经历：5年以上工作经验，其中3年以上数据开发经验，1年以上开发项目管理实施经验；4、其他条件：熟悉shell脚本的编写，熟悉数据库知识,熟练掌握基于hadoop的数据开发，理解大数据的实现原理； 熟练使用hbase，sqoop，flume、spark，kafka等；5、有对海量数据分析经验，能熟练运用hive并能进行查询的性能优化；（核心能力） 6、数据仓库有深入的掌握，能够独立完成数据仓库的设计，对ETL、数据分析方法等有较好的实践经验（核心能力） ；7、良好的逻辑思维能力，对数据敏感；较强的团队合作精神和主动沟通意识；8、有良好的组织、沟通、解决问题和总结归纳能力。"
大数据开发工程师 (MJ000266),北京万方数据股份有限公司,北京,1-2.5万,工作职责：1.基于海量文献数据进行数据分析挖掘整理；2.负责公司的数据平台的模型设计，根据业务本质，构建清晰的数据分层体系架构；3.负责数据平台的指标计算框架的建设，按照业务指标的定义，实现一套灵活、通用的指标计算、分发和展示解决方案；4.服从领导的其他工作安排。职位要求：1.3年以上Hadoop及大数据开发经验，熟悉HDFS/YARN/Spark/Hive/Flink/Kafka等组件的内部原理，并具有生产项目的优化经验；熟练掌握Spark/Flink的开发以及HiveSQL/SparkSQL的编写与调优；2.熟练掌握Java/Scala编程语言，熟悉常见的设计模式、数据结构和算法；具有良好的文档编写能力和较强的语言沟通能力；3.熟悉CDH/Ambari/k8s等大数据平台、分布式数据库tidb搭建和维护，对平台及组件的架构有较深入的研究；4.用过docker微服务和机器学习者更佳。
数据开发工程师,特变电工股份有限公司,昌吉,1-2.5万,"岗位职责:一、数据需求分析：1、参与大数据项目具体数据分析工作；2、设计核心日报优化、存货分析，客商余额等实际方案。二、数据开发工作：1、参与当前大数据项目建设；2、大数据项目后续应用场景需求分析和建设；三、数据需求管理：1、负责数据需求方案编写；2、推动数据开发全流程。任职要求:（一）本科及以上学历，计算机、管理、工程、生产、物流及其相关专业；（二）熟悉大数据建设前沿理论，及时掌握业务领域内的新技术或新的技术趋势；（三）理解业务领域大数据建设未来3-5年建设目标, 熟悉业务流程、管理制度，并具备10年以上工作经验；（四）具备项目管理经验，熟悉ITIL管理理念，具备丰富的系统与业务融合经验；"
大数据开发(J11402),江铃汽车股份有限公司,南昌,1-2.5万,"工作职责:负责公司本地开源数据平台建设，负责开源平台（Hadoop\spark、starrocks、dolphinscheduler、datax等）二次开发与运维;任职资格:1、本科或以上学历，计算机软件或相关专业；2、3年以上企业级数据平台相关大数据系统开发经验，熟悉Java,scala等开发语言，有流式计算开发经验；3、具有大数据平台搭建经验，深入理解hadoop、HBase、spark、Hive、Flink,kafka等技术原理和开发工具，有丰富的调优、稳定性实战经验；4、具备较强的抽象能力、分析能力、建模能力；5、精通ETL设计开发，对数据仓库、数据平台、数据分析等有深刻理解，具备丰富的海量数据加工处理和优化经验。"
大数据开发工程师,杭州三汇数字信息技术有限公司,杭州,1-2.5万,岗位职责：基于阿里飞天平台/Hadoop/Spark等大数据平台进行海量数据的处理和分析挖掘任职资格：1、本科及以上学历，计算机及相关专业毕业；2、熟练掌握Java；3、熟悉Linux操作系统；4、了解Hadoop/MR/Hbase/Hive/Spark等相关大数据技术；5、熟悉ORACLE、mysql等主流数据库，熟练使用SQL；6、良好的口头表达和沟通能力，良好的英文阅读能力；7、能适应适当的出差和加班。
数据开发工程师,广西叫酒网络科技有限公司,南宁,1万以下,"——“广西叫酒网络科技有限公司（酒小二）”是专注于酒水类同城速送的新零售服务平台，为了解决酒水行业中溢价多的问题和乱象。——酒小二专注于酒类的同城垂直配送，以“互联网平台大数据+前置仓模式+25分钟配送”的商业模式。——2020年12月已完成A轮融资，投资方为腾讯、红杉中国。岗位职责：1、负责大数据分析需求设计和开发，包括数据集市、实时分析、数据展示等开发；2、参与项目需求和编写开发文档、计划文档；3、负责数据接入、数据清洗、底层重构，业务主题建模等；4、负责深入业务，制定业务指标，反馈业务问题，为业务发展提供决策支持。任职资格：1、3年以上Java或Python开发经验；有scala开发经验的优先;2、熟悉hadoop、hive、hbase、MapReduce、spark、kylin、flume、elasticsearch、presto等大数据相关技术，有二次开发经验优先；3、精通脚本语言(python,shell)，熟悉?Redis,?MongoDB,?MySQL等数据库，熟悉ETL开发者优先;4、有数据挖掘及机器学习方面的经验优先；福利待遇：社保、包中餐、加班晚餐、加班补助、专业培训、不定期团建等等上班时间：9：00——18:00（午休2小时）?***"
数据挖掘工程师,中电鸿信信息科技有限公司,南京,25-45万/年,岗位职责1. 深入理解业务、产品的方向和需求，针对复杂的商业问题，规划、设计、实现基于数据挖掘的解决方案，充分实现数据的商业价值 2. 分析和研究数据与实际业务的关联关系，利用数据挖掘的先进技术，针对具体业务需求场景，设计预测（响应、分类）、用户分层等模型，挖掘用户属性和行为特征 3. 基于海量用户行为数据和其他数据，开发设计面向常规算法不能解决问题的可扩展机器学习算法，并以实际业务应用为导向研发创新方法，产生创新应用4. 熟悉计算机视觉、NLP、OCR等专业算法，提供技术指导，设计算法架构，引领技术研究方向。任职要求1. 计算机、统计学、数学、数理统计等相关专业，本科以上学历，5年以上相关经验；  2. 具备数据挖掘、机器学习、概率统计基础理论知识，具有很强的利用数据挖掘技术解决实际业务问题的能力和成功案例，对数据挖掘各环节有深入理解； 3. 掌握常用的分类、聚类、预测、关联规则、序列模式等挖掘算法，了解数据挖掘前沿技术，对算法的优缺点及适用场景有自己的见解 4. 具有很强的数据分析和逻辑推理能力，熟练使用SAS/SPSS Clementine/R/Weka/Mahout等数据挖掘工具，对基本统计知识有一定的了解，有实践经验；
大数据高级工程师,民航成都电子技术有限责任公司,成都,10-25万/年,岗位职责：  负责大数据整体架构设计、整体功能设计、核心模块开发、团队建设。  任职要求：??1、本科及以上学历，计算机相关专业。2、熟练掌握Hadoop、HBase、Hive、Spark、Flink等大数据开源框架，深入理解Map/Reduce、Hive、Hbase、HDFS相关原理及高级特性，具有丰富的海量数据处理开发经验。3、有主持开发大数据平台的相关经验，开发的系统得到实际运用；4、有作为团队负责人管理研发团队的相关经验。供职部门：民航成都信息技术有限公司民航信息招聘介绍一、基本情况民航成都信息技术有限公司成立于2014年，全面继承并重组了中国民用航空局第二研究所20年来在民航机场信息化建设领域的产品、经验、人才、市场积淀。所提供的信息产品和技术服务广泛应用于国内运输机场，同类产品市场占有率持续保持领先地位。公司软件研发能力通过了CMMI-5认证，取得了国家高新技术企业称号，拥有发明专利8项、软件著作权31项。2015年中国民用航空局第二研究所为做大做强民航机场弱电建设业务，将民航成都信息技术有限公司作为骨干企业，全资注入新成立的民航成都电子技术有限责任公司。民航信息将继续发扬专注、规范、高效、务实的企业精神，为国内民航运输保障企业提供先进、高效、可靠的信息产品及优质、周到、及时的技术服务，致力于成为国内民航信息产业创新引领者。工作地点位于成都市天府新区西区工业园清凉西路55号。(公司提供市区多条线路免费通勤车)二、薪酬待遇岗位薪酬、奖金、年终奖、出差补贴、交通补贴、各类培训。2016年公司员工税前收入（不含出差补贴）超过15万比例达78%，超过20万比例达40%，平均接近20万，中位数为18万。三、七险一金按照国家相关规定缴纳七险一金。四、福利休假按国家规定享受带薪年假及其他各类休假；出差休整假、长期出差直系亲属现场探视或补贴；工作日免费午餐；员工生日、结婚、子女出生慰问；定期免费检，员工生病住院慰问；家庭困难补助；节日慰问等；党组织、团组织、工会组织、兴趣社团。邮箱：hr_it@caacetc.com
大数据开发工程师,北京聘多多科技有限公司,上海,1-2.5万,岗位职责：1、负责公司大数据开发、数仓建设维护、数据平台搭建工作；2、负责海量数据的处理、分析、统计和挖掘；4、依据业务需求，完成数据治理，建立数据规范，保证数据质量等工作。任职要求：1、统招本科及以上学历，计算机、软件工程等相关专业优先，3年及以上相关工作经验；2、熟悉数据库操作，具有良好的SQL编写能力；3、熟悉Hadoop、Spark、HBase、Hive等大数据体系；4、熟悉Python或Scala等语言进行建模，熟悉常见的数据挖掘算法者优先；5、良好的表达及沟通能力，工作积极主动，具有强烈的责任心、团队配合精神。非外包岗位：初级：0-2年，含应届生         15-20K中级：3-4年                            20-30K高级：5-6年                            25-35K资深：7-15年，35岁以内       30-40K
